ID,Number of Quantities,Number of Insignificant Quantities,Size,Total Number of Words,Total Number of Characters,Number of Special Characters,Number of Sentences,First Index,Second Index,Difficulty,Score,Class
183,2,0,Big,21,96,2,2,4,7,7.00386871278418,700,0
184,2,0,Medium,34,126,4,4,8,17,3.67609862709351,12,4
185,2,0,Medium,19,64,2,2,2,5,1.94237855247497,95,0
186,2,0,Medium,22,83,3,3,3,11,3.32483726354821,8,5
187,2,0,Medium,19,70,3,3,3,8,2.08671134476849,93,4
188,2,0,Small,24,86,3,3,0,8,1.50864872904792,1,1
189,2,0,Small,19,70,2,2,3,9,6.15225511327604,12,2
190,2,0,Small,33,117,3,3,11,20,7.74005231578095,6,2
191,2,0,Big,30,98,2,2,5,11,9.6790940604995,273,4
192,2,0,Medium,20,75,3,3,2,8,7.70265427001413,15,0
193,2,0,Small,16,52,2,2,2,13,6.54100928029379,18,2
194,2,0,Medium,19,68,3,3,3,9,9.58327199552355,54,0
195,2,0,Small,22,76,3,3,4,7,3.33512761677889,24,2
196,2,0,Medium,20,77,2,2,2,10,7.96706123343242,7,5
197,2,0,Medium,29,111,4,4,7,16,4.46653597116931,66,0
198,2,0,Small,19,55,3,3,4,16,5.44775260347723,15,2
199,2,0,Medium,32,105,4,4,8,17,3.92234490256861,38,4
200,3,1,Small,28,88,3,3,2,10,5.46634911571979,21,2
201,2,0,Small,20,65,3,3,4,7,7.2825146475147,6,2
202,2,0,Medium,19,67,3,3,3,8,1.08555285090894,73,1
203,3,1,Medium,39,139,3,3,2,18,2.82042937804468,7,5
204,2,0,Medium,21,86,1,1,3,11,3.2342490073978,2,5
205,2,0,Big,20,74,3,3,2,7,1.44139254037341,111,4
206,2,0,Medium,19,72,3,3,3,8,6.67565332376572,18,0
207,2,0,Medium,25,94,3,3,11,15,5.90342807454028,8,5
208,2,0,Medium,32,120,4,4,4,11,6.45669674937978,79,0
209,2,0,Small,30,93,?,2,3,12,7.34413830371786,10,2
210,2,0,Medium,21,63,3,3,2,7,5.84963911951232,5,1
211,2,0,Medium,28,111,2,2,2,10,4.43697532850723,55,0
212,2,0,Medium,16,66,2,2,2,5,1.15654355257751,5,5
213,2,0,Medium,20,76,3,3,3,8,2.12744413764958,29,4
214,2,0,Small,26,105,3,3,2,7,9.92774630693605,4,0
215,2,0,Big,25,85,2,2,2,11,5.80484869200911,3264,4
216,2,0,Small,26,106,3,3,2,7,8.50524250524958,8,0
217,2,0,Medium,16,56,2,2,2,5,8.3060402863564,4,5
218,2,0,Big,25,103,3,3,2,13,4.34599610146755,77,1
219,2,0,Small,16,52,2,2,2,13,9.54386584307036,48,2
220,2,0,Medium,19,64,3,3,3,8,8.78246579823817,70,0
221,2,0,Big,19,78,3,3,2,7,8.97667975716392,11,4
222,2,0,Medium,27,98,4,4,2,15,1.12023959763102,23,4
223,2,0,Big,33,115,3,3,10,21,6.57893022330128,13,5
224,2,0,Small,22,69,3,3,4,19,6.32124307806818,15,2
225,2,0,?,20,80,3,3,2,7,1.06247466171141,13,1
226,2,0,Medium,35,121,4,4,2,18,1.01100134348283,26,4
227,3,1,Medium,21,80,4,4,2,7,6.74136756457377,87,3
228,3,1,Medium,21,68,4,4,2,7,3.99072344491374,5,4
229,2,0,Medium,22,77,2,2,2,11,4.45699796880364,2,5
230,2,0,Small,18,55,2,2,4,7,1.21194864756231,6,2
231,2,0,Medium,18,57,3,3,2,10,2.46738512541505,75,1
232,2,0,Medium,31,109,3,3,6,10,1.55832138052782,9,5
233,2,0,Big,36,126,2,2,6,33,7.37052003858798,12,5
234,3,1,Medium,24,84,4,4,2,8,0.358461388374449,67,0
235,2,0,Big,20,70,2,2,5,8,6.85911064063426,929,0
236,2,0,Small,20,79,2,2,2,10,4.83929460839883,5,5
237,2,0,Small,19,70,2,2,3,9,7.45670157096522,12,2
238,2,0,Medium,16,75,1,1,3,6,8.10289277148837,8,5
239,2,0,Medium,21,80,3,3,3,10,3.3280494783915,179,0
240,2,0,Medium,21,73,3,3,2,8,9.00917946425216,43,0
241,2,0,Medium,19,66,3,3,3,8,6.44790297074279,84,0
242,2,0,Big,31,94,4,4,4,15,6.62384381524948,432,2
243,2,0,Medium,16,61,1,1,3,6,3.43405576275421,5,5
244,2,0,Medium,37,121,3,3,2,12,6.12546706942419,3,5
245,2,0,Small,17,59,3,3,2,5,9.07033841701983,11,0
246,2,0,Medium,25,80,4,4,4,10,2.61330369847322,10,5
247,3,1,Medium,37,121,4,4,2,18,6.24999724844298,9,0
248,2,0,Small,18,63,4,4,2,9,2.19085112420256,0.72,1
249,2,0,Small,25,92,2,2,8,22,5.70356131981211,3.33333,5
250,2,0,Medium,18,54,3,3,2,7,4.33369613875886,79,4
251,2,0,Medium,30,108,3,3,10,13,2.77231430574086,4,5
252,2,0,Medium,19,65,3,3,3,9,5.36174106606113,31,0
253,2,0,Medium,18,52,3,3,2,10,9.09831889338579,42,4
254,2,0,Medium,24,95,2,2,2,16,7.12956780375436,6,5
255,2,0,Big,21,68,3,3,2,8,8.93649268950539,17408,2
256,2,0,Small,18,57,2,2,4,7,7.13594121811608,15,2
257,2,0,Medium,18,67,3,3,2,7,0.177132414481117,43,4
258,?,0,Big,18,78,2,2,2,6,1.11659989374368,3343,0
259,2,0,Medium,21,82,3,3,3,10,0.666768205516666,81,0
260,3,1,Medium,24,93,2,2,2,5,1.54737057461914,8,5
261,2,0,Big,18,67,3,3,2,7,1.12310704804091,165,4
262,2,0,Medium,22,75,3,3,2,7,9.59921650581551,18,3
263,2,0,Medium,19,75,3,3,2,10,1.98294462628943,50,0
264,2,0,Medium,21,85,3,3,2,6,3.9340187373181,26,4
265,2,0,Medium,25,96,3,3,11,15,1.57990151910276,7,5
266,2,0,Medium,21,82,1,1,3,11,5.1129041260714,3,5
267,2,0,Medium,30,108,3,3,10,13,2.5778887311934,7,5
268,2,0,Big,21,83,3,3,2,8,8.56354750137971,152,1
269,2,0,Small,16,65,2,2,2,5,3.55693396200676,2,4
270,3,1,Small,37,116,4,4,2,18,2.62955779138776,6,0
271,2,0,Big,34,107,4,4,0,19,9.80574768855552,81,4
272,2,0,Medium,44,158,5,5,16,40,9.30976141820607,120,2
273,2,0,Medium,25,90,2,2,9,14,9.3934023349338,426,2
274,2,0,Small,26,89,1,1,3,12,3.67334853145403,14,0
275,2,0,Medium,18,69,3,3,2,7,7.6416493956992,92,3
276,2,0,Small,20,71,3,3,2,10,8.75594765568847,27,2
277,2,0,Medium,22,93,3,3,2,10,1.7055745202111,63,0
278,2,0,Medium,19,68,3,3,2,7,7.45265757106855,27,0
279,2,0,Medium,17,58,3,3,2,5,7.93164717288002,95,0
280,2,0,Medium,19,67,3,3,2,8,0.056266626098314,152,0
281,2,0,Medium,22,84,2,2,2,11,6.13950187692559,3,5
282,2,0,Medium,21,83,2,2,2,8,0.112141200119557,37,0
283,2,0,Medium,24,88,2,2,2,16,7.37077531032624,8,5
284,2,0,Medium,28,85,4,4,4,12,5.13779320638175,300,2
285,2,0,Medium,21,74,3,3,2,7,6.29176086815462,56,0
286,2,0,Small,16,52,2,2,2,13,1.67836779007656,12,2
287,2,0,Medium,30,109,3,3,9,14,4.38630249432346,28,0
288,2,0,Medium,28,116,2,2,3,10,2.80216438036629,400,2
289,2,0,Medium,20,72,3,3,2,8,3.3744578900611,83,0
290,2,0,Big,20,79,2,2,2,10,2.18964245138749,94,5
291,2,0,Small,23,74,3,3,2,11,7.13692535060382,20,2
292,2,0,Medium,32,106,2,2,3,15,1.15033372435955,5,5
293,2,0,Medium,22,72,3,3,2,10,3.14980901877569,43,0
294,2,?,Medium,24,93,3,3,2,14,1.61473770381464,4,5
295,2,0,Medium,25,85,3,3,0,8,0.907576468097969,33,0
296,2,0,Medium,21,70,3,3,2,8,1.02691077763665,29,0
297,2,0,Medium,20,72,3,3,3,8,5.85115302765935,84,4
298,2,0,Medium,22,85,2,2,2,13,6.57015145993353,2,5
299,2,0,Small,14,48,3,3,4,9,3.06882126197203,12,2
300,2,0,Medium,19,75,2,2,2,16,2.93799735914064,60,2
301,2,0,Medium,29,106,3,3,13,24,7.96252016614432,180,2
302,2,0,Medium,33,124,7,7,4,19,8.62754346693247,42,1
303,2,0,Medium,22,90,2,2,2,16,7.85426267269683,6,3
304,2,0,Medium,22,78,2,2,2,11,3.21424971632928,5,5
305,2,0,Small,26,106,3,3,2,7,9.43818253580578,8,0
306,2,0,Small,18,55,5,5,2,10,6.7428673432167,2,4
307,2,0,Small,31,117,3,3,5,12,7.53878116947087,21,2
308,2,0,Medium,27,105,2,2,2,8,3.12719544873108,8,5
309,2,0,Medium,25,95,3,3,8,14,9.6758407853257,360,2
310,2,0,Medium,16,56,2,2,2,5,8.69975100164773,4,5
311,2,0,Medium,20,73,3,3,3,8,3.49243453638361,47,1
312,3,1,Medium,34,107,4,4,2,10,9.7939190510654,82,3
313,2,0,Small,12,42,3,3,3,8,6.56346066262238,36,2
314,2,0,Medium,17,69,3,3,2,7,6.29146025908196,25,4
315,2,0,Medium,24,97,1,1,3,6,9.35432531363548,5,5
316,2,0,Medium,28,89,3,3,4,17,4.68845891272019,6,4
317,2,0,Small,20,72,3,3,2,10,0.842964875416839,14,0
318,2,0,Big,26,93,3,3,5,15,?,1250,2
319,2,0,Small,35,135,?,4,15,22,9.22125232028821,7,0
320,2,0,Medium,18,64,3,3,2,7,9.30682796996884,37,3
321,2,0,Medium,24,87,3,3,4,11,5.38326049207376,60,0
322,2,0,Medium,18,66,3,3,3,8,1.8310751571447,15,1
323,2,0,Medium,21,68,3,3,2,8,7.60891217105683,32,0
324,2,0,Medium,18,73,3,3,2,7,9.59869056600737,15,3
325,2,0,Small,20,78,3,3,2,10,8.79227270246265,7,0
326,2,0,Medium,22,77,2,2,2,11,0.065323921162875,220,2
327,2,0,Small,16,73,1,1,3,6,5.10772584320146,1,1
328,2,0,Medium,20,80,2,2,3,17,9.62526478839482,4,4
329,2,0,Medium,21,73,3,3,2,8,7.75468295733608,43,0
330,2,0,Big,22,73,2,2,2,8,3.07569686976884,162,5
331,2,0,Big,16,51,2,2,2,5,4.87978832988538,8,5
332,2,0,Medium,23,81,2,2,2,19,5.03886064221972,15,4
333,2,0,Medium,27,88,4,4,11,16,4.23110684484867,88,2
334,2,0,Small,32,125,4,4,9,17,0.970801604619633,70,2
335,2,0,Medium,24,95,2,2,2,16,5.72199836764431,3,5
336,2,0,Small,22,85,2,2,2,8,3.6067754016035,2,4
337,2,0,Small,21,71,3,3,0,9,3.67089908526491,3,0
338,2,0,Small,12,42,3,3,3,8,6.18551351664029,36,2
339,2,0,Medium,18,64,3,3,2,7,6.72505030259777,67,3
340,3,1,Medium,37,120,4,4,2,18,7.41661609456039,10,0
341,3,1,Big,20,62,2,2,2,6,2.39962184341226,2016,2
342,2,0,Medium,26,87,3,3,2,11,3.81110461775267,20,4
343,2,0,Big,27,95,3,3,0,8,2.09162485861632,217,0
344,2,0,Medium,23,92,2,2,2,5,8.39884035796011,62,0
345,2,0,Small,35,117,4,4,9,23,0.273668859203215,5,5
346,2,0,Medium,19,72,3,3,2,5,4.99592767492385,10,4
347,2,0,Medium,24,76,5,5,4,10,7.89960180370883,68,2
348,2,0,Small,21,82,3,3,3,6,7.89947585995515,3,1
349,2,0,Medium,24,81,3,3,4,12,3.23439951072722,9,5
350,2,0,Medium,24,101,1,1,3,6,6.91807618868524,5,5
351,3,1,Small,30,114,4,4,2,7,9.0067249972699,8,0
352,2,0,Medium,20,87,3,3,2,10,5.87313510786172,93,0
353,3,1,Medium,44,152,4,4,14,18,4.26487654593524,30,0
354,2,0,Medium,16,49,2,2,2,5,8.67277789775702,8,5
355,2,0,Medium,20,77,2,2,2,10,1.52231082563804,6,5
356,2,0,Medium,19,77,3,3,3,8,9.44544778259188,11,4
357,2,0,Small,20,76,3,3,2,10,4.13593321331036,8,0
358,2,0,Small,30,105,2,2,3,12,9.55066423070236,6,2
359,2,0,Medium,20,76,2,2,2,11,7.82130209541828,1,5
360,2,0,Medium,18,66,3,3,2,7,3.67407081376083,92,3
361,2,0,Medium,30,103,3,3,4,16,9.98242634355074,17,4
362,2,0,Medium,24,85,3,3,2,9,9.3083035553451,135,2
363,2,0,Medium,28,96,3,3,7,14,4.44407268084156,51,0
364,2,0,Medium,22,79,4,4,4,9,8.86141095814671,22,1
365,2,0,Medium,24,77,?,3,2,8,4.43767895162417,20,0
366,2,0,Small,20,66,2,2,4,15,3.41348635236664,100,2
367,3,1,Medium,30,109,4,4,2,7,0.13695463195127,58,0
368,2,0,Small,30,102,2,2,3,12,0.516789172751702,24,2
369,2,0,Medium,31,109,3,3,6,10,8.5851607112782,9,5
370,2,0,Medium,26,93,6,6,4,12,2.55938114725997,31,0
